year,cause,deaths
1999,Mental and behavioural disorders,42128
1999,Diseases of the nervous system,84077
1999,Diseases of the eye and adnexa,44
1999,Diseases of the ear and mastoid process,74
1999,Diseases of the circulatory system,954339
1999,Diseases of the respiratory system,229863
1999,Diseases of the digestive system,82876
1999,Diseases of the skin and subcutaneous tissue,3697
1999,Diseases of the musculoskeletal system and connective tissue,13347
1999,Diseases of the genitourinary system,53127
1999,"Pregnancy, childbirth and the puerperium",406
1999,Certain conditions originating in the perinatal period,14259
1999,"Congenital malformations, deformations and chromosomal abnormalities",10393
1999,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",26672
1999,Codes for special purposes,0
1999,External causes of morbidity and mortality,151109
2000,Certain infectious and parasitic diseases,59007
2000,Neoplasms,566637
2000,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9315
2000,"Endocrine, nutritional and metabolic diseases",94345
2000,Mental and behavioural disorders,46015
2000,Diseases of the nervous system,91014
2000,Diseases of the eye and adnexa,59
2000,Diseases of the ear and mastoid process,67
2000,Diseases of the circulatory system,941526
2000,Diseases of the respiratory system,231079
2000,Diseases of the digestive system,84015
2000,Diseases of the skin and subcutaneous tissue,3753
2000,Diseases of the musculoskeletal system and connective tissue,13764
2000,Diseases of the genitourinary system,54560
2000,"Pregnancy, childbirth and the puerperium",404
2000,Certain conditions originating in the perinatal period,14069
2000,"Congenital malformations, deformations and chromosomal abnormalities",10578
2000,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",31876
2000,Codes for special purposes,0
2000,External causes of morbidity and mortality,151268
2001,Certain infectious and parasitic diseases,60336
2001,Neoplasms,567444
2001,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9535
2001,"Endocrine, nutritional and metabolic diseases",96820
2001,Mental and behavioural disorders,50811
2001,Diseases of the nervous system,96524
2001,Diseases of the eye and adnexa,37
2001,Diseases of the ear and mastoid process,75
2001,Diseases of the circulatory system,926999
2001,Diseases of the respiratory system,230009
2001,Diseases of the digestive system,85833
2001,Diseases of the skin and subcutaneous tissue,3749
2001,Diseases of the musculoskeletal system and connective tissue,14057
2001,Diseases of the genitourinary system,57026
2001,"Pregnancy, childbirth and the puerperium",416
2001,Certain conditions originating in the perinatal period,13887
2001,"Congenital malformations, deformations and chromosomal abnormalities",10442
2001,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32326
2001,Codes for special purposes,2926
2001,External causes of morbidity and mortality,157173
2002,Certain infectious and parasitic diseases,63981
2002,Neoplasms,570570
2002,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9661
2002,"Endocrine, nutritional and metabolic diseases",99458
2002,Mental and behavioural disorders,55788
2002,Diseases of the nervous system,103064
2002,Diseases of the eye and adnexa,40
2002,Diseases of the ear and mastoid process,69
2002,Diseases of the circulatory system,923339
2002,Diseases of the respiratory system,234629
2002,Diseases of the digestive system,86710
2002,Diseases of the skin and subcutaneous tissue,3937
2002,Diseases of the musculoskeletal system and connective tissue,14400
2002,Diseases of the genitourinary system,58334
2002,"Pregnancy, childbirth and the puerperium",379
2002,Certain conditions originating in the perinatal period,14254
2002,"Congenital malformations, deformations and chromosomal abnormalities",10687
2002,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",29975
2002,External causes of morbidity and mortality,164111
2003,Certain infectious and parasitic diseases,64661
2003,Neoplasms,570465
2003,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9585
2003,"Endocrine, nutritional and metabolic diseases",100443
2003,Mental and behavioural disorders,60058
2003,Diseases of the nervous system,109640
2003,Diseases of the eye and adnexa,41
2003,Diseases of the ear and mastoid process,72
2003,Diseases of the circulatory system,907180
2003,Diseases of the respiratory system,235935
2003,Diseases of the digestive system,87764
2003,Diseases of the skin and subcutaneous tissue,4132
2003,Diseases of the musculoskeletal system and connective tissue,14489
2003,Diseases of the genitourinary system,60081
