year,drug_code,drug_name,deaths,provisional
2022,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",37192,true
2023,T40.1,Heroin,4056,true
2023,T40.2,Other opioids (natural & semi-synthetic),10555,true
2023,T40.3,Methadone,3504,true
2023,T40.4,Synthetic opioids excl. methadone (fentanyl),74537,true
2023,T40.5,Cocaine,31389,true
2023,T40.7,Cannabis,1452,true
2023,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",38166,true
2024,T40.1,Heroin,2792,true
2024,T40.2,Other opioids (natural & semi-synthetic),7215,true
2024,T40.3,Methadone,3499,true
2024,T40.4,Synthetic opioids excl. methadone (fentanyl),37192,true
2024,T40.5,Cocaine,20283,true
2024,T40.7,Cannabis,1272,true
2024,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",27650,true
