sex,sex_label,race,race_label,site,site_label,age_range,rate,rate_lower_ci,rate_upper_ci,count,rate_se,rate_type,rate_type_label,subtype,subtype_label
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,208,1.379068,1.280630,1.483064,727,0.051146,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,209,1.426411,1.323119,1.535624,706,0.053683,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,210,1.375176,1.270924,1.485701,643,0.054231,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,211,1.271357,1.172055,1.376824,605,0.051688,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,212,1.242192,1.144453,1.346046,596,0.050882,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,213,1.263906,1.163209,1.370986,581,0.052435,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,214,1.306425,1.195594,1.424766,511,0.057792,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,215,1.316571,1.192348,1.450219,411,0.064941,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,216,1.525003,1.363694,1.700146,325,0.084591,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,217,2.143939,1.903050,2.406878,287,0.126552,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,218,2.131603,1.820564,2.480542,167,0.164948,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,662,Other Glioma of the Brain and ONS,219,2.097480,1.722250,2.530186,109,0.200902,1,Observed SEER Incidence Rate,662,Other Glioma
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,200,1.147611,0.932721,1.397175,99,0.115339,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,201,0.949137,0.851199,1.055254,342,0.051323,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,202,0.576645,0.510614,0.648844,276,0.034709,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,203,0.342224,0.292990,0.397364,172,0.026094,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,204,0.167860,0.134081,0.207562,85,0.018207,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,205,0.181879,0.146437,0.223307,91,0.019066,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,206,0.120205,0.092572,0.153499,64,0.015025,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,207,0.096887,0.072575,0.126730,53,0.013308,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,208,0.060701,0.041519,0.085692,32,0.010730,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,209,0.084857,0.061157,0.114702,42,0.013093,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,210,0.062021,0.041537,0.089073,29,0.011517,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,211,0.050434,0.032314,0.075041,24,0.010294,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,212,,,,,,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,213,,,,,,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,214,,,,,,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,215,,,,,,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,216,,,,,,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,217,0.000000,,,0,,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,218,,,,,,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,663,Embryonal Tumors of the Brain and ONS,219,0.000000,,,0,,1,Observed SEER Incidence Rate,663,Embryonal Tumors
1,Both Sexes,1,All Races / Ethnicities,664,Meningioma of the Brain and ONS,200,0.000000,,,0,,1,Observed SEER Incidence Rate,664,Meningioma
1,Both Sexes,1,All Races / Ethnicities,664,Meningioma of the Brain and ONS,201,,,,,,1,Observed SEER Incidence Rate,664,Meningioma
1,Both Sexes,1,All Races / Ethnicities,664,Meningioma of the Brain and ONS,202,0.000000,,,0,,1,Observed SEER Incidence Rate,664,Meningioma
1,Both Sexes,1,All Races / Ethnicities,664,Meningioma of the Brain and ONS,203,,,,,,1,Observed SEER Incidence Rate,664,Meningioma
1,Both Sexes,1,All Races / Ethnicities,664,Meningioma of the Brain and ONS,204,,,,,,1,Observed SEER Incidence Rate,664,Meningioma
1,Both Sexes,1,All Races / Ethnicities,664,Meningioma of the Brain and ONS,205,,,,,,1,Observed SEER Incidence Rate,664,Meningioma
1,Both Sexes,1,All Races / Ethnicities,664,Meningioma of the Brain and ONS,206,,,,,,1,Observed SEER Incidence Rate,664,Meningioma
1,Both Sexes,1,All Races / Ethnicities,664,Meningioma of the Brain and ONS,207,,,,,,1,Observed SEER Incidence Rate,664,Meningioma
1,Both Sexes,1,All Races / Ethnicities,664,Meningioma of the Brain and ONS,208,0.034144,0.020236,0.053963,18,0.008047,1,Observed SEER Incidence Rate,664,Meningioma
