"geoid","name","intent","period","count_sup","rate","data_as_of","ttm_date_range"
"06","California","Drug_OD","2021","10476","26.80000000000000","2026-05-14T00:00:00.000",
"06","California","Drug_OD","2022","10442","26.70000000000000","2026-05-14T00:00:00.000",
"06","California","Drug_OD","2023","10897","28.00000000000000","2026-05-14T00:00:00.000",
"06","California","Drug_OD","2024","8593","22.10000000000000","2026-05-14T00:00:00.000",
"06","California","Drug_OD","TTM","8065","20.70000000000000","2026-05-14T00:00:00.000","November, 2024 to October, 2025"
"06","California","FA_Deaths","2019","2945","7.500000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Deaths","2020","3449","8.699999999999999","2026-05-14T00:00:00.000",
"06","California","FA_Deaths","2021","3576","9.100000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Deaths","2022","3484","8.900000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Deaths","2023","3209","8.199999999999999","2026-05-14T00:00:00.000",
"06","California","FA_Deaths","2024","2853","7.300000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Deaths","TTM","2713","7.000000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"06","California","FA_Homicide","2019","1246","3.200000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Homicide","2020","1732","4.400000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Homicide","2021","1861","4.800000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Homicide","2022","1676","4.300000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Homicide","2023","1427","3.700000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Homicide","2024","1204","3.100000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Homicide","TTM","978","2.500000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"06","California","FA_Suicide","2019","1586","4.000000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Suicide","2020","1552","3.900000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Suicide","2021","1575","4.000000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Suicide","2022","1689","4.300000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Suicide","2023","1647","4.200000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Suicide","2024","1530","3.900000000000000","2026-05-14T00:00:00.000",
"06","California","FA_Suicide","TTM","1605","4.100000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"08","Colorado","All_Homicide","2019","250","4.300000000000000","2026-05-14T00:00:00.000",
"08","Colorado","All_Homicide","2020","336","5.800000000000000","2026-05-14T00:00:00.000",
"08","Colorado","All_Homicide","2021","368","6.300000000000000","2026-05-14T00:00:00.000",
"08","Colorado","All_Homicide","2022","417","7.100000000000000","2026-05-14T00:00:00.000",
"08","Colorado","All_Homicide","2023","368","6.300000000000000","2026-05-14T00:00:00.000",
"08","Colorado","All_Homicide","2024","305","5.200000000000000","2026-05-14T00:00:00.000",
"08","Colorado","All_Homicide","TTM","227","3.900000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"08","Colorado","All_Suicide","2019","1312","22.80000000000000","2026-05-14T00:00:00.000",
"08","Colorado","All_Suicide","2020","1302","22.50000000000000","2026-05-14T00:00:00.000",
"08","Colorado","All_Suicide","2021","1384","23.80000000000000","2026-05-14T00:00:00.000",
