"geoid","intent","period","count","rate","type","data_as_of","ttm_date_range"
"USA","All_Suicide","2021-12-01T00:00:00.000","3898","13.8","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-01-01T00:00:00.000","4148","14.7","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-02-01T00:00:00.000","3809","14.9","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-03-01T00:00:00.000","4106","14.5","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-04-01T00:00:00.000","4024","14.7","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-05-01T00:00:00.000","4376","15.5","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-06-01T00:00:00.000","4271","15.6","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-07-01T00:00:00.000","4367","15.4","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-08-01T00:00:00.000","4342","15.3","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-09-01T00:00:00.000","4108","15","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-10-01T00:00:00.000","4077","14.4","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-11-01T00:00:00.000","3900","14.2","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2022-12-01T00:00:00.000","3948","13.9","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-01-01T00:00:00.000","4274","15","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-02-01T00:00:00.000","3778","14.7","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-03-01T00:00:00.000","4159","14.6","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-04-01T00:00:00.000","4023","14.6","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-05-01T00:00:00.000","4323","15.2","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-06-01T00:00:00.000","4098","14.9","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-07-01T00:00:00.000","4386","15.4","month","2026-05-14T00:00:00.000",
"USA","All_Suicide","2023-08-01T00:00:00.000","4416","15.5","month","2026-05-14T00:00:00.000",
