"week_end","condition","percent_visits","age_group"
"2024-06-29T00:00:00.000","Acute upper respiratory infection","1.2","Overall"
"2024-07-06T00:00:00.000","Acute upper respiratory infection","9.1","Infants 0-1"
"2024-07-06T00:00:00.000","Acute upper respiratory infection","5.3","Kids 2-4"
"2024-07-06T00:00:00.000","Acute upper respiratory infection","2.0","Kids 5-17"
"2024-07-06T00:00:00.000","Acute upper respiratory infection","1.0","Adults 18-49"
"2024-07-06T00:00:00.000","Acute upper respiratory infection","0.6","Adults 50-64"
"2024-07-06T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
"2024-07-06T00:00:00.000","Acute upper respiratory infection","1.2","Overall"
"2024-07-13T00:00:00.000","Acute upper respiratory infection","8.5","Infants 0-1"
"2024-07-13T00:00:00.000","Acute upper respiratory infection","5.1","Kids 2-4"
"2024-07-13T00:00:00.000","Acute upper respiratory infection","2.0","Kids 5-17"
"2024-07-13T00:00:00.000","Acute upper respiratory infection","1.0","Adults 18-49"
"2024-07-13T00:00:00.000","Acute upper respiratory infection","0.6","Adults 50-64"
"2024-07-13T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
"2024-07-13T00:00:00.000","Acute upper respiratory infection","1.2","Overall"
"2024-07-20T00:00:00.000","Acute upper respiratory infection","8.4","Infants 0-1"
"2024-07-20T00:00:00.000","Acute upper respiratory infection","4.9","Kids 2-4"
"2024-07-20T00:00:00.000","Acute upper respiratory infection","1.9","Kids 5-17"
"2024-07-20T00:00:00.000","Acute upper respiratory infection","1.0","Adults 18-49"
"2024-07-20T00:00:00.000","Acute upper respiratory infection","0.7","Adults 50-64"
"2024-07-20T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
"2024-07-20T00:00:00.000","Acute upper respiratory infection","1.2","Overall"
"2024-07-27T00:00:00.000","Acute upper respiratory infection","8.6","Infants 0-1"
"2024-07-27T00:00:00.000","Acute upper respiratory infection","5.3","Kids 2-4"
"2024-07-27T00:00:00.000","Acute upper respiratory infection","2.0","Kids 5-17"
"2024-07-27T00:00:00.000","Acute upper respiratory infection","1.1","Adults 18-49"
"2024-07-27T00:00:00.000","Acute upper respiratory infection","0.7","Adults 50-64"
"2024-07-27T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
"2024-07-27T00:00:00.000","Acute upper respiratory infection","1.3","Overall"
"2024-08-03T00:00:00.000","Acute upper respiratory infection","9.0","Infants 0-1"
"2024-08-03T00:00:00.000","Acute upper respiratory infection","5.3","Kids 2-4"
"2024-08-03T00:00:00.000","Acute upper respiratory infection","2.1","Kids 5-17"
"2024-08-03T00:00:00.000","Acute upper respiratory infection","1.1","Adults 18-49"
"2024-08-03T00:00:00.000","Acute upper respiratory infection","0.7","Adults 50-64"
"2024-08-03T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
"2024-08-03T00:00:00.000","Acute upper respiratory infection","1.3","Overall"
"2024-08-10T00:00:00.000","Acute upper respiratory infection","9.2","Infants 0-1"
"2024-08-10T00:00:00.000","Acute upper respiratory infection","5.7","Kids 2-4"
"2024-08-10T00:00:00.000","Acute upper respiratory infection","2.3","Kids 5-17"
"2024-08-10T00:00:00.000","Acute upper respiratory infection","1.1","Adults 18-49"
"2024-08-10T00:00:00.000","Acute upper respiratory infection","0.7","Adults 50-64"
"2024-08-10T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
"2024-08-10T00:00:00.000","Acute upper respiratory infection","1.3","Overall"
"2024-08-17T00:00:00.000","Acute upper respiratory infection","9.6","Infants 0-1"
"2024-08-17T00:00:00.000","Acute upper respiratory infection","6.4","Kids 2-4"
"2024-08-17T00:00:00.000","Acute upper respiratory infection","3.0","Kids 5-17"
"2024-08-17T00:00:00.000","Acute upper respiratory infection","1.2","Adults 18-49"
"2024-08-17T00:00:00.000","Acute upper respiratory infection","0.7","Adults 50-64"
"2024-08-17T00:00:00.000","Acute upper respiratory infection","0.5","Seniors 65+"
"2024-08-17T00:00:00.000","Acute upper respiratory infection","1.5","Overall"
"2024-08-24T00:00:00.000","Acute upper respiratory infection","11.2","Infants 0-1"
"2024-08-24T00:00:00.000","Acute upper respiratory infection","8.4","Kids 2-4"
