"influenza_season","start_date","end_date","reporting_timeframe","week","week_sort_order","current_season_week_ending_label","cumulative_flu_doses","current_through"
"2021-2022","2021-08-15T00:00:00.000","2021-08-21T00:00:00.000","2021-08-15 - 2021-08-21","33","4","2023-08-19T00:00:00.000","25.27","2024-03-09T00:00:00.000"
"2021-2022","2021-08-22T00:00:00.000","2021-08-28T00:00:00.000","2021-08-22 - 2021-08-28","34","5","2023-08-26T00:00:00.000","40.71","2024-03-09T00:00:00.000"
"2021-2022","2021-08-29T00:00:00.000","2021-09-04T00:00:00.000","2021-08-29 - 2021-09-04","35","6","2023-09-02T00:00:00.000","53.86","2024-03-09T00:00:00.000"
"2021-2022","2021-09-05T00:00:00.000","2021-09-11T00:00:00.000","2021-09-05 - 2021-09-11","36","7","2023-09-09T00:00:00.000","67.54","2024-03-09T00:00:00.000"
"2021-2022","2021-09-12T00:00:00.000","2021-09-18T00:00:00.000","2021-09-12 - 2021-09-18","37","8","2023-09-16T00:00:00.000","86.09","2024-03-09T00:00:00.000"
"2021-2022","2021-09-19T00:00:00.000","2021-09-25T00:00:00.000","2021-09-19 - 2021-09-25","38","9","2023-09-23T00:00:00.000","102.01","2024-03-09T00:00:00.000"
"2021-2022","2021-09-26T00:00:00.000","2021-10-02T00:00:00.000","2021-09-26 - 2021-10-02","39","10","2023-09-30T00:00:00.000","115.29","2024-03-09T00:00:00.000"
"2021-2022","2021-10-03T00:00:00.000","2021-10-09T00:00:00.000","2021-10-03 - 2021-10-09","40","11","2023-10-07T00:00:00.000","129.16","2024-03-09T00:00:00.000"
"2021-2022","2021-10-10T00:00:00.000","2021-10-16T00:00:00.000","2021-10-10 - 2021-10-16","41","12","2023-10-14T00:00:00.000","140.33","2024-03-09T00:00:00.000"
"2021-2022","2021-10-17T00:00:00.000","2021-10-23T00:00:00.000","2021-10-17 - 2021-10-23","42","13","2023-10-21T00:00:00.000","150.65","2024-03-09T00:00:00.000"
"2021-2022","2021-10-24T00:00:00.000","2021-10-30T00:00:00.000","2021-10-24 - 2021-10-30","43","14","2023-10-28T00:00:00.000","159.25","2024-03-09T00:00:00.000"
"2021-2022","2021-10-31T00:00:00.000","2021-11-06T00:00:00.000","2021-10-31 - 2021-11-06","44","15","2023-11-04T00:00:00.000","163.05","2024-03-09T00:00:00.000"
"2021-2022","2021-11-07T00:00:00.000","2021-11-13T00:00:00.000","2021-11-07 - 2021-11-13","45","16","2023-11-11T00:00:00.000","165.77","2024-03-09T00:00:00.000"
"2021-2022","2021-11-14T00:00:00.000","2021-11-20T00:00:00.000","2021-11-14 - 2021-11-20","46","17","2023-11-18T00:00:00.000","167.74","2024-03-09T00:00:00.000"
"2021-2022","2021-11-21T00:00:00.000","2021-11-27T00:00:00.000","2021-11-21 - 2021-11-27","47","18","2023-11-25T00:00:00.000","168.39","2024-03-09T00:00:00.000"
"2021-2022","2021-11-28T00:00:00.000","2021-12-04T00:00:00.000","2021-11-28 - 2021-12-04","48","19","2023-12-02T00:00:00.000","169.71","2024-03-09T00:00:00.000"
"2021-2022","2021-12-05T00:00:00.000","2021-12-11T00:00:00.000","2021-12-05 - 2021-12-11","49","20","2023-12-09T00:00:00.000","170.76","2024-03-09T00:00:00.000"
