"season","week","virus","region","age_gp","number_pos","number_tested","percent_pos"
"2021-22","202149","Influenza","Region 1","0-4 years","0","0","0"
"2021-22","202149","Influenza","Region 1","5-17 years","0","0","0"
"2021-22","202149","Influenza","Region 1","18-24 years","0","0","0"
"2021-22","202149","Influenza","Region 1","25-49 years","0","0","0"
"2021-22","202149","Influenza","Region 1","50-64 years","0","1","0"
"2021-22","202149","Influenza","Region 1","65+ years","0","0","0"
"2021-22","202149","Influenza","Region 2","0-4 years","0","9","0"
"2021-22","202149","Influenza","Region 2","5-17 years","1","19","5.26"
"2021-22","202149","Influenza","Region 2","18-24 years","5","20","25"
"2021-22","202149","Influenza","Region 2","25-49 years","2","78","2.56"
"2021-22","202149","Influenza","Region 2","50-64 years","0","52","0"
"2021-22","202149","Influenza","Region 2","65+ years","0","76","0"
"2021-22","202149","Influenza","Region 3","0-4 years","1","88","1.14"
"2021-22","202149","Influenza","Region 3","5-17 years","3","32","9.38"
"2021-22","202149","Influenza","Region 3","18-24 years","22","41","53.66"
"2021-22","202149","Influenza","Region 3","25-49 years","5","68","7.35"
"2021-22","202149","Influenza","Region 3","50-64 years","1","53","1.89"
"2021-22","202149","Influenza","Region 3","65+ years","0","102","0"
"2021-22","202149","Influenza","Region 4","0-4 years","9","145","6.21"
"2021-22","202149","Influenza","Region 4","5-17 years","4","64","6.25"
"2021-22","202149","Influenza","Region 4","18-24 years","1","13","7.69"
"2021-22","202149","Influenza","Region 4","25-49 years","0","18","0"
"2021-22","202149","Influenza","Region 4","50-64 years","0","26","0"
"2021-22","202149","Influenza","Region 4","65+ years","0","14","0"
"2021-22","202149","Influenza","Region 5","0-4 years","4","232","1.72"
"2021-22","202149","Influenza","Region 5","5-17 years","8","138","5.8"
"2021-22","202149","Influenza","Region 5","18-24 years","0","54","0"
"2021-22","202149","Influenza","Region 5","25-49 years","5","178","2.81"
"2021-22","202149","Influenza","Region 5","50-64 years","1","147","0.68"
"2021-22","202149","Influenza","Region 5","65+ years","2","185","1.08"
"2021-22","202149","Influenza","Region 6","0-4 years","0","5","0"
"2021-22","202149","Influenza","Region 6","5-17 years","0","7","0"
"2021-22","202149","Influenza","Region 6","18-24 years","1","22","4.55"
"2021-22","202149","Influenza","Region 6","25-49 years","1","109","0.92"
"2021-22","202149","Influenza","Region 6","50-64 years","1","96","1.04"
"2021-22","202149","Influenza","Region 6","65+ years","1","91","1.1"
"2021-22","202149","Influenza","Region 7","0-4 years","2","138","1.45"
"2021-22","202149","Influenza","Region 7","5-17 years","8","67","11.94"
"2021-22","202149","Influenza","Region 7","18-24 years","0","12","0"
"2021-22","202149","Influenza","Region 7","25-49 years","1","62","1.61"
"2021-22","202149","Influenza","Region 7","50-64 years","0","46","0"
"2021-22","202149","Influenza","Region 7","65+ years","2","34","5.88"
"2021-22","202149","Influenza","Region 8","0-4 years","7","565","1.24"
"2021-22","202149","Influenza","Region 8","5-17 years","26","219","11.87"
"2021-22","202149","Influenza","Region 8","18-24 years","14","138","10.14"
"2021-22","202149","Influenza","Region 8","25-49 years","8","503","1.59"
"2021-22","202149","Influenza","Region 8","50-64 years","1","278","0.36"
"2021-22","202149","Influenza","Region 8","65+ years","8","536","1.49"
"2021-22","202149","Influenza","Region 9","0-4 years","0","2","0"
"2021-22","202149","Influenza","Region 9","5-17 years","0","2","0"
"2021-22","202149","Influenza","Region 9","18-24 years","4","18","22.22"
"2021-22","202149","Influenza","Region 9","25-49 years","1","57","1.75"
"2021-22","202149","Influenza","Region 9","50-64 years","0","34","0"
"2021-22","202149","Influenza","Region 9","65+ years","1","46","2.17"
"2021-22","202149","RSV","Region 1","0-4 years","0","0","0"
"2021-22","202149","RSV","Region 1","5-17 years","0","0","0"
"2021-22","202149","RSV","Region 1","18-24 years","0","0","0"
"2021-22","202149","RSV","Region 1","25-49 years","0","0","0"
"2021-22","202149","RSV","Region 1","50-64 years","0","1","0"
"2021-22","202149","RSV","Region 1","65+ years","0","0","0"
"2021-22","202149","RSV","Region 2","0-4 years","1","9","11.11"
"2021-22","202149","RSV","Region 2","5-17 years","2","18","11.11"
"2021-22","202149","RSV","Region 2","18-24 years","1","17","5.88"
"2021-22","202149","RSV","Region 2","25-49 years","1","46","2.17"
"2021-22","202149","RSV","Region 2","50-64 years","4","19","21.05"
"2021-22","202149","RSV","Region 2","65+ years","2","25","8"
"2021-22","202149","RSV","Region 3","0-4 years","11","69","15.94"
"2021-22","202149","RSV","Region 3","5-17 years","1","29","3.45"
"2021-22","202149","RSV","Region 3","18-24 years","3","38","7.89"
"2021-22","202149","RSV","Region 3","25-49 years","0","53","0"
"2021-22","202149","RSV","Region 3","50-64 years","1","45","2.22"
"2021-22","202149","RSV","Region 3","65+ years","4","92","4.35"
"2021-22","202149","RSV","Region 4","0-4 years","1","36","2.78"
"2021-22","202149","RSV","Region 4","5-17 years","0","21","0"
"2021-22","202149","RSV","Region 4","18-24 years","0","9","0"
