"round","topic","indicator","full_indicator","demographic_variable","demographic_variable_label","estimate","confidence_interval"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ability to be sprayed on is at least moderately important","Percentage of adults who believe that the ability of sunscreen to be sprayed on the skin is at least moderately important when purchasing sunscreen","Age group","18-44 years","38.3","36, 40.6"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ability to be sprayed on is at least moderately important","Percentage of adults who believe that the ability of sunscreen to be sprayed on the skin is at least moderately important when purchasing sunscreen","Age group","45-64 years","40.4","38.1, 42.7"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ability to be sprayed on is at least moderately important","Percentage of adults who believe that the ability of sunscreen to be sprayed on the skin is at least moderately important when purchasing sunscreen","Age group","65 years and older","32.1","29.7, 34.5"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face and other skin outdoors","Percentage of adults who wear sunscreen on their face and other exposed skin when outdoors in the sun during warm weather always or most of the time","Age group","18-44 years","21.7","19.8, 23.6"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face and other skin outdoors","Percentage of adults who wear sunscreen on their face and other exposed skin when outdoors in the sun during warm weather always or most of the time","Age group","45-64 years","23.7","21.8, 25.6"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face and other skin outdoors","Percentage of adults who wear sunscreen on their face and other exposed skin when outdoors in the sun during warm weather always or most of the time","Age group","65 years and older","21.8","19.6, 24.1"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face outdoors","Percentage of adults who wear sunscreen on their face when outdoors in the sun during warm weather always or most of the time","Age group","18-44 years","28.7","26.7, 30.7"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face outdoors","Percentage of adults who wear sunscreen on their face when outdoors in the sun during warm weather always or most of the time","Age group","45-64 years","30.1","28.1, 32.1"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face outdoors","Percentage of adults who wear sunscreen on their face when outdoors in the sun during warm weather always or most of the time","Age group","65 years and older","27.7","25.4, 30.2"
"1","Sunscreen","Sunscreen use: Wear sunscreen on other skin outdoors","Percentage of adults who wear sunscreen on other exposed skin when outdoors in the sun during warm weather always or most of the time","Age group","18-44 years","25.9","23.9, 27.9"
"1","Sunscreen","Sunscreen use: Wear sunscreen on other skin outdoors","Percentage of adults who wear sunscreen on other exposed skin when outdoors in the sun during warm weather always or most of the time","Age group","45-64 years","26.3","24.4, 28.2"
