"mmwr_week_end","pathogen","pct_positive","footnote","age_group","mmwr_week"
"2026-04-25T00:00:00.000","SARS-CoV-2","1.09",,"--- 5-11 years","16"
"2026-04-25T00:00:00.000","SARS-CoV-2","0",,"--- 3-5 months","16"
"2026-04-25T00:00:00.000","SARS-CoV-2","2.44",,"--- 24-59 months","16"
"2026-04-25T00:00:00.000","SARS-CoV-2","1.92",,"--- 12-23 months","16"
"2026-04-25T00:00:00.000","SARS-CoV-2","0",,"--- 0-2 months","16"
"2026-04-25T00:00:00.000","RV/EV","46.43",,"--- 6-11 months","16"
"2026-04-25T00:00:00.000","RV/EV","43.64",,"All","16"
"2026-04-25T00:00:00.000","RV/EV","43.48",,"--- 5-11 years","16"
"2026-04-25T00:00:00.000","RV/EV","46.88",,"0-11 months","16"
"2026-04-25T00:00:00.000","RV/EV","32.5",,"--- 12-17 years","16"
"2026-04-25T00:00:00.000","RV/EV","53.85",,"--- 12-23 months","16"
"2026-04-25T00:00:00.000","RV/EV","40.15",,"5-17 years","16"
"2026-04-25T00:00:00.000","RV/EV","61.54",,"--- 3-5 months","16"
"2026-04-25T00:00:00.000","RV/EV","39.13",,"--- 0-2 months","16"
"2026-04-25T00:00:00.000","RV/EV","45.52",,"12-59 months","16"
"2026-04-25T00:00:00.000","RV/EV","40.24",,"--- 24-59 months","16"
"2026-04-25T00:00:00.000","RSV","5.45",,"All","16"
"2026-04-25T00:00:00.000","RSV","15.38",,"--- 3-5 months","16"
"2026-04-25T00:00:00.000","RSV","8.7",,"--- 0-2 months","16"
"2026-04-25T00:00:00.000","RSV","6.72",,"12-59 months","16"
"2026-04-25T00:00:00.000","RSV","1.52",,"5-17 years","16"
"2026-04-25T00:00:00.000","RSV","5",,"--- 12-17 years","16"
"2026-04-25T00:00:00.000","RSV","10.94",,"0-11 months","16"
"2026-04-25T00:00:00.000","RSV","9.62",,"--- 12-23 months","16"
"2026-04-25T00:00:00.000","RSV","10.71",,"--- 6-11 months","16"
"2026-04-25T00:00:00.000","RSV","0",,"--- 5-11 years","16"
"2026-04-25T00:00:00.000","RSV","4.88",,"--- 24-59 months","16"
"2026-04-25T00:00:00.000","PIV","8.7",,"--- 0-2 months","16"
"2026-04-25T00:00:00.000","PIV","4.48",,"12-59 months","16"
"2026-04-25T00:00:00.000","PIV","3.66",,"--- 24-59 months","16"
"2026-04-25T00:00:00.000","PIV","17.86",,"--- 6-11 months","16"
"2026-04-25T00:00:00.000","PIV","7.69",,"--- 3-5 months","16"
"2026-04-25T00:00:00.000","PIV","1.09",,"--- 5-11 years","16"
"2026-04-25T00:00:00.000","PIV","2.5",,"--- 12-17 years","16"
"2026-04-25T00:00:00.000","PIV","5.77",,"--- 12-23 months","16"
"2026-04-25T00:00:00.000","PIV","4.85",,"All","16"
"2026-04-25T00:00:00.000","PIV","12.5",,"0-11 months","16"
"2026-04-25T00:00:00.000","PIV","1.52",,"5-17 years","16"
"2026-04-25T00:00:00.000","Influenza","1.56",,"0-11 months","16"
"2026-04-25T00:00:00.000","Influenza","0.75",,"12-59 months","16"
"2026-04-25T00:00:00.000","Influenza","0",,"--- 12-23 months","16"
"2026-04-25T00:00:00.000","Influenza","0",,"--- 6-11 months","16"
"2026-04-25T00:00:00.000","Influenza","4.24",,"All","16"
"2026-04-25T00:00:00.000","Influenza","1.22",,"--- 24-59 months","16"
"2026-04-25T00:00:00.000","Influenza","4.35",,"--- 0-2 months","16"
"2026-04-25T00:00:00.000","Influenza","0",,"--- 3-5 months","16"
"2026-04-25T00:00:00.000","Influenza","10",,"--- 12-17 years","16"
"2026-04-25T00:00:00.000","Influenza","8.7",,"--- 5-11 years","16"
"2026-04-25T00:00:00.000","Influenza","9.09",,"5-17 years","16"
"2026-04-25T00:00:00.000","HMPV","15.38",,"--- 3-5 months","16"
"2026-04-25T00:00:00.000","HMPV","3.03",,"5-17 years","16"
"2026-04-25T00:00:00.000","HMPV","10.45",,"12-59 months","16"
"2026-04-25T00:00:00.000","HMPV","12.5",,"0-11 months","16"
"2026-04-25T00:00:00.000","HMPV","7.14",,"--- 6-11 months","16"
"2026-04-25T00:00:00.000","HMPV","7.88",,"All","16"
"2026-04-25T00:00:00.000","HMPV","3.26",,"--- 5-11 years","16"
"2026-04-25T00:00:00.000","HMPV","10.98",,"--- 24-59 months","16"
