"yearstart","yearend","locationabbr","locationdesc","datasource","topic","question","response","datavalueunit","datavaluetype","datavalue","datavaluealt","datavaluefootnotesymbol","datavaluefootnote","lowconfidencelimit","highconfidencelimit","stratificationcategory1","stratification1","stratificationcategory2","stratification2","stratificationcategory3","stratification3","geolocation","locationid","topicid","questionid","responseid","datavaluetypeid","stratificationcategoryid1","stratificationid1","stratificationcategoryid2","stratificationid2","stratificationcategoryid3","stratificationid3"
"2021","2021","AK","Alaska","BRFSS","Arthritis","Received health care provider counseling for physical activity among adults with arthritis",,"%","Age-adjusted Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Hispanic",,,,,"POINT (-147.722059 64.84507995700051)","02","ART","ART06",,"AGEADJPREV","RACE","HIS",,,,
"2021","2021","CO","Colorado","BRFSS","Arthritis","Work limitation due to arthritis among adults aged 18-64 years with arthritis",,"%","Crude Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-106.1336109 38.843840757000464)","08","ART","ART04",,"CRDPREV","RACE","HAPI",,,,
"2021","2021","MD","Maryland","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Age-adjusted Prevalence","30.3","30.3",,,"24.4","37.0","Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-76.60926011 39.29058096400047)","24","ART","ART05",,"AGEADJPREV","RACE","BLK",,,,
"2023","2023","CA","California","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Age-adjusted Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-120.9999995 37.63864012300047)","06","ART","ART05",,"AGEADJPREV","RACE","MRC",,,,
"2020","2020","AK","Alaska","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-147.722059 64.84507995700051)","02","ART","ART05",,"CRDPREV","RACE","MRC",,,,
"2021","2021","MO","Missouri","BRFSS","Arthritis","Work limitation due to arthritis among adults aged 18-64 years with arthritis",,"%","Crude Prevalence","35.4","35.4",,,"31.9","39.1","Age","Age 45-64",,,,,"POINT (-92.56630005 38.635790776000476)","29","ART","ART04",,"CRDPREV","AGE","AGE4564",,,,
"2019","2019","CO","Colorado","BRFSS","Arthritis","Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis",,"%","Crude Prevalence","14.8","14.8",,,"12.4","17.5","Age","Age 45-64",,,,,"POINT (-106.1336109 38.843840757000464)","08","ART","ART07",,"CRDPREV","AGE","AGE4564",,,,
"2019","2019","WY","Wyoming","BRFSS","Arthritis","Received health care provider counseling for physical activity among adults with arthritis",,"%","Crude Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Hispanic",,,,,"POINT (-108.1098304 43.23554134300048)","56","ART","ART06",,"CRDPREV","RACE","HIS",,,,
"2019","2019","AL","Alabama","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","39.7","39.7",,,"37.4","42.0","Overall","Overall",,,,,"POINT (-86.63186076 32.84057112200048)","01","ART","ART05",,"CRDPREV","OVERALL","OVR",,,,
"2019","2019","MI","Michigan","BRFSS","Arthritis","Received health care provider counseling for physical activity among adults with arthritis",,"%","Crude Prevalence","71.1","71.1",,,"69.1","73.0","Overall","Overall",,,,,"POINT (-84.71439027 44.66131954)","26","ART","ART06",,"CRDPREV","OVERALL","OVR",,,,
"2019","2019","NE","Nebraska","BRFSS","Arthritis","Severe joint pain among adults with arthritis",,"%","Crude Prevalence","23.6","23.6",,,"21.9","25.4","Overall","Overall",,,,,"POINT (-99.36572062 41.64104099)","31","ART","ART03",,"CRDPREV","OVERALL","OVR",,,,
"2022","2022","FL","Florida","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Age-adjusted Prevalence","30.5","30.5",,,"24.7","36.9","Sex","Female",,,,,"POINT (-81.92896054 28.932040377000476)","12","ART","ART05",,"AGEADJPREV","SEX","SEXF",,,,
"2021","2021","AK","Alaska","BRFSS","Arthritis","Work limitation due to arthritis among adults aged 18-64 years with arthritis",,"%","Crude Prevalence","38.0","38.0",,,"30.4","46.3","Sex","Male",,,,,"POINT (-147.722059 64.84507995700051)","02","ART","ART04",,"CRDPREV","SEX","SEXM",,,,
"2021","2021","MA","Massachusetts","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Age-adjusted Prevalence","54.8","54.8",,,"41.8","67.2","Race/Ethnicity","Hispanic",,,,,"POINT (-72.08269067 42.27687047000046)","25","ART","ART05",,"AGEADJPREV","RACE","HIS",,,,
"2019","2019","WI","Wisconsin","BRFSS","Arthritis","Work limitation due to arthritis among adults aged 18-64 years with arthritis",,"%","Age-adjusted Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-89.81637074 44.39319117400049)","55","ART","ART04",,"AGEADJPREV","RACE","AIAN",,,,
"2019","2019","WI","Wisconsin","BRFSS","Arthritis","Work limitation due to arthritis among adults aged 18-64 years with arthritis",,"%","Crude Prevalence","45.2","45.2",,,"40.9","49.7","Overall","Overall",,,,,"POINT (-89.81637074 44.39319117400049)","55","ART","ART04",,"CRDPREV","OVERALL","OVR",,,,
"2019","2019","FL","Florida","BRFSS","Arthritis","Work limitation due to arthritis among adults aged 18-64 years with arthritis",,"%","Age-adjusted Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-81.92896054 28.932040377000476)","12","ART","ART04",,"AGEADJPREV","RACE","MRC",,,,
"2021","2021","TN","Tennessee","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Age-adjusted Prevalence","30.1","30.1",,,"20.5","41.8","Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-85.77449091 35.68094058000048)","47","ART","ART05",,"AGEADJPREV","RACE","BLK",,,,
"2021","2021","LA","Louisiana","BRFSS","Arthritis","Severe joint pain among adults with arthritis",,"%","Age-adjusted Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Hispanic",,,,,"POINT (-92.44568007 31.31266064400046)","22","ART","ART03",,"AGEADJPREV","RACE","HIS",,,,
"2023","2023","IN","Indiana","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","28.3","28.3",,,"22.8","34.6","Age","Age 18-44",,,,,"POINT (-86.14996019 39.766910452000445)","18","ART","ART05",,"CRDPREV","AGE","AGE1844",,,,
"2021","2021","SC","South Carolina","BRFSS","Arthritis","Received health care provider counseling for physical activity among adults with arthritis",,"%","Age-adjusted Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Hispanic",,,,,"POINT (-81.04537121 33.998821303000454)","45","ART","ART06",,"AGEADJPREV","RACE","HIS",,,,
"2019","2019","CA","California","BRFSS","Arthritis","Work limitation due to arthritis among adults aged 18-64 years with arthritis",,"%","Age-adjusted Prevalence","39.0","39.0",,,"22.6","58.4","Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-120.9999995 37.63864012300047)","06","ART","ART04",,"AGEADJPREV","RACE","ASN",,,,
"2019","2019","IA","Iowa","BRFSS","Arthritis","Received health care provider counseling for physical activity among adults with arthritis",,"%","Crude Prevalence","63.2","63.2",,,"56.9","69.1","Age","Age 18-44",,,,,"POINT (-93.81649056 42.46940091300047)","19","ART","ART06",,"CRDPREV","AGE","AGE1844",,,,
"2019","2019","NH","New Hampshire","BRFSS","Arthritis","Received health care provider counseling for physical activity among adults with arthritis",,"%","Crude Prevalence","70.1","70.1",,,"67.2","72.9","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-71.50036092 43.65595011300047)","33","ART","ART06",,"CRDPREV","RACE","WHT",,,,
"2019","2019","AL","Alabama","BRFSS","Arthritis","Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis",,"%","Crude Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-86.63186076 32.84057112200048)","01","ART","ART07",,"CRDPREV","RACE","AIAN",,,,
"2019","2019","LA","Louisiana","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Age-adjusted Prevalence","33.1","33.1",,,"27.6","39.1","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-92.44568007 31.31266064400046)","22","ART","ART05",,"AGEADJPREV","RACE","WHT",,,,
"2022","2022","VT","Vermont","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-72.51764079 43.62538123900049)","50","ART","ART05",,"CRDPREV","RACE","HAPI",,,,
