"vaccine","influenza_season","geographic_level","geographic_name","demographic_level","demographic_name","indicator_label","indicator_category_label","month_week","week_ending","nd_weekly_estimate","ci_half_width_90pct","ci_half_width_95pct","n_weighted","n_unweighted","suppression_flag","data_source"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","January Week 4","2026-01-24","33.8138","1.7536","2.0894","N/A","9962","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","January Week 5","2026-01-31","45.5294","0.69","0.8222","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","January Week 5","2026-01-31","45.5294","0.69","0.8222","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","January Week 5","2026-01-31","4.3066","0.7985","0.9514","N/A","10925","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","January Week 5","2026-01-31","16.6262","1.4406","1.7165","N/A","10925","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","January Week 5","2026-01-31","33.5379","1.6507","1.9668","N/A","10925","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","Up-to-date","Yes","February Week 1","2026-02-07","46.0756","0.6935","0.8263","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","February Week 1","2026-02-07","46.0756","0.6935","0.8263","N/A","197256","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 1","2026-02-07","5.5331","0.9657","1.1506","N/A","10476","0","NIS-ACM"
"FLU","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 1","2026-02-07","15.5456","1.4682","1.7493","N/A","10476","0","NIS-ACM"
