"year_and_quarter","topic","topic_subgroup","indicator","race_ethnicity","rate","unit","significant"
"2025 Q4","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic White","0.9","per 1,000 population",
"2025 Q4","Method of Delivery","Cesarean Delivery Rates","Cesarean","All races and origins","32.5","per 100 births",
"2025 Q4","Method of Delivery","Cesarean Delivery Rates","Cesarean","Hispanic","32.6","per 100 births",
"2025 Q4","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic Black","38.0","per 100 births",
"2025 Q4","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic White","30.8","per 100 births",
"2025 Q4","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","All races and origins","26.9","per 100 births",
"2025 Q4","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Hispanic","26.6","per 100 births",
"2025 Q4","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic Black","32.4","per 100 births",
"2025 Q4","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic White","25.4","per 100 births",
"2025 Q4","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","All races and origins","16.0","per 100 births",
"2025 Q4","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Hispanic","15.3","per 100 births",
"2025 Q4","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic Black","15.1","per 100 births",
"2025 Q4","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic White","16.5","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","All races and origins","10.41","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Hispanic","10.19","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic Black","14.90","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic White","9.46","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","All races and origins","2.69","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Hispanic","2.63","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic Black","4.80","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic White","2.21","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","All races and origins","30.78","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Hispanic","31.45","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic Black","34.41","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic White","29.22","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","All races and origins","54.14","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Hispanic","54.35","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic Black","47.25","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic White","55.81","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","All races and origins","7.72","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Hispanic","7.56","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic Black","10.10","per 100 births",
"2025 Q4","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic White","7.24","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Late term (41 weeks)","All races and origins","4.67","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Late term (41 weeks)","Hispanic","4.01","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic Black","3.45","per 100 births",
"2025 Q4","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic White","5.51","per 100 births",
"2025 Q4","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","All races and origins","8.42","per 100 births",
"2025 Q4","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Hispanic","7.88","per 100 births",
"2025 Q4","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic Black","14.88","per 100 births",
"2025 Q4","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic White","6.86","per 100 births",
"2025 Q4","Source of Payment for the Delivery","Medicaid","Medicaid","All races and origins","39.0","per 100 births",
