"year_and_quarter","topic","topic_subgroup","indicator","race_ethnicity","rate","unit","significant"
"2024 Q2","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic Black","13.9","per 1,000 population",
"2024 Q2","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic White","10.8","per 1,000 population",
"2024 Q2","Birth Rates","Age-specific Birth Rates","45+ years","All races and origins","1.1","per 1,000 population",
"2024 Q2","Birth Rates","Age-specific Birth Rates","45+ years","Hispanic","1.1","per 1,000 population",
"2024 Q2","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic Black","1.5","per 1,000 population",
"2024 Q2","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic White","0.9","per 1,000 population",
"2024 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","All races and origins","32.4","per 100 births",
"2024 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","Hispanic","32.1","per 100 births",
"2024 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic Black","37.2","per 100 births",
"2024 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic White","31.1","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","All races and origins","2.75","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Hispanic","2.59","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic Black","4.82","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic White","2.29","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","All races and origins","30.04","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Hispanic","30.62","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic Black","33.69","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic White","28.53","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","All races and origins","54.76","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Hispanic","54.97","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic Black","47.89","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic White","56.49","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","All races and origins","7.69","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Hispanic","7.54","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic Black","10.04","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic White","7.19","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","All races and origins","4.50","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","Hispanic","4.11","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic Black","3.34","per 100 births",
"2024 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic White","5.16","per 100 births",
"2024 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","All races and origins","8.58","per 100 births",
"2024 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Hispanic","7.92","per 100 births",
"2024 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic Black","14.93","per 100 births",
"2024 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic White","7.03","per 100 births",
"2024 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","All races and origins","26.6","per 100 births",
"2024 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Hispanic","25.9","per 100 births",
"2024 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic Black","31.1","per 100 births",
"2024 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic White","25.6","per 100 births",
"2024 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","All races and origins","40.8","per 100 births",
"2024 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","Hispanic","58.0","per 100 births",
"2024 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic Black","63.5","per 100 births",
"2024 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic White","27.1","per 100 births",
"2024 Q2","NICU Admission","NICU Admission Rates","NICU Admission","All races and origins","9.9","per 100 births",
"2024 Q2","NICU Admission","NICU Admission Rates","NICU Admission","Hispanic","8.9","per 100 births",
"2024 Q2","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic Black","13.3","per 100 births",
"2024 Q2","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic White","9.6","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","All races and origins","10.44","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Hispanic","10.13","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic Black","14.86","per 100 births",
"2024 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic White","9.48","per 100 births",
"2024 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","All races and origins","15.3","per 100 births",
"2024 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Hispanic","14.8","per 100 births",
"2024 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic Black","15.1","per 100 births",
"2024 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic White","15.5","per 100 births",
"2024 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","All races and origins","0.2","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Hispanic","0.3","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","All races and origins","13.0","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Hispanic","20.9","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic Black","18.9","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic White","8.4","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","All races and origins","57.3","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Hispanic","81.2","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic Black","68.1","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic White","47.9","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","All races and origins","91.2","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Hispanic","111.8","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic Black","84.3","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic White","89.5","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","All races and origins","94.7","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Hispanic","100.8","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic Black","75.9","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic White","97.6","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","All races and origins","54.5","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","Hispanic","59.2","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic Black","49.4","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic White","52.2","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","All races and origins","12.7","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","Hispanic","15.5","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic Black","14.0","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic White","10.7","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","45+ years","All races and origins","1.1","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","45+ years","Hispanic","1.1","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic Black","1.5","per 1,000 population",
"2024 Q1","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic White","0.9","per 1,000 population",
"2024 Q1","Birth Rates","General Fertility Rates","15-44 years","All races and origins","54.6","per 1,000 population",
"2024 Q1","Birth Rates","General Fertility Rates","15-44 years","Hispanic","65.0","per 1,000 population",
"2024 Q1","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic Black","53.0","per 1,000 population",
"2024 Q1","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic White","51.8","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","10-14 years","All races and origins","0.2","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","10-14 years","Hispanic","0.3","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","15-17 years","All races and origins","5.5","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","15-17 years","Hispanic","9.3","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic Black","8.7","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic White","2.9","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","18-19 years","All races and origins","24.6","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","18-19 years","Hispanic","39.1","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic Black","34.8","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic White","16.6","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","15-19 years","All races and origins","13.0","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","15-19 years","Hispanic","20.9","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic Black","18.9","per 1,000 population",
"2024 Q1","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic White","8.4","per 1,000 population",
"2024 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","All races and origins","8.59","per 100 births",
"2024 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Hispanic","7.93","per 100 births",
"2024 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic Black","14.86","per 100 births",
"2024 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic White","7.06","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","All races and origins","2.76","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Hispanic","2.61","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic Black","4.83","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic White","2.30","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","All races and origins","7.69","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Hispanic","7.55","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic Black","9.97","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic White","7.19","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","All races and origins","10.46","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Hispanic","10.16","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic Black","14.80","per 100 births",
"2024 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic White","9.49","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","All races and origins","29.98","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Hispanic","30.54","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic Black","33.65","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic White","28.47","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","All races and origins","54.79","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Hispanic","54.99","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic Black","47.96","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic White","56.54","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","All races and origins","4.51","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Hispanic","4.14","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic Black","3.38","per 100 births",
"2024 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic White","5.16","per 100 births",
"2024 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","All races and origins","32.3","per 100 births",
"2024 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Hispanic","32.1","per 100 births",
"2024 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic Black","37.0","per 100 births",
"2024 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic White","31.1","per 100 births",
"2024 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","All races and origins","26.6","per 100 births",
"2024 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Hispanic","25.9","per 100 births",
"2024 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic Black","30.9","per 100 births",
"2024 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic White","25.6","per 100 births",
"2024 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","All races and origins","15.2","per 100 births",
"2024 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Hispanic","14.8","per 100 births",
"2024 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic Black","15.1","per 100 births",
"2024 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic White","15.4","per 100 births",
"2024 Q1","NICU Admission","NICU Admission Rates","NICU Admission","All races and origins","9.9","per 100 births",
"2024 Q1","NICU Admission","NICU Admission Rates","NICU Admission","Hispanic","8.9","per 100 births",
"2024 Q1","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic Black","13.3","per 100 births",
"2024 Q1","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic White","9.5","per 100 births",
"2024 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","All races and origins","41.1","per 100 births",
"2024 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","Hispanic","58.4","per 100 births",
"2024 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic Black","64.0","per 100 births",
"2024 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic White","27.4","per 100 births",
