stateabbr,measureid,data_value_type,data_value,population
AZ,CSMOKING,AgeAdjPrv,11.9,7431344
AZ,CSMOKING,CrdPrv,11.4,7431344
AZ,DENTAL,AgeAdjPrv,59.4,7431344
AZ,DENTAL,CrdPrv,59.9,7431344
AZ,DEPRESSION,AgeAdjPrv,20.1,7431344
AZ,DEPRESSION,CrdPrv,19.5,7431344
AZ,DIABETES,AgeAdjPrv,9.9,7431344
AZ,DIABETES,CrdPrv,11.3,7431344
AZ,DISABILITY,AgeAdjPrv,29.7,7431344
AZ,DISABILITY,CrdPrv,31.4,7431344
AZ,EMOTIONSPT,AgeAdjPrv,26.4,7431344
AZ,EMOTIONSPT,CrdPrv,25.7,7431344
AZ,FOODINSECU,AgeAdjPrv,16.7,7431344
AZ,FOODINSECU,CrdPrv,15.9,7431344
AZ,FOODSTAMP,AgeAdjPrv,11.8,7431344
AZ,FOODSTAMP,CrdPrv,11.1,7431344
AZ,GHLTH,AgeAdjPrv,18.7,7431344
AZ,GHLTH,CrdPrv,19.5,7431344
AZ,HEARING,AgeAdjPrv,6.8,7431344
AZ,HEARING,CrdPrv,8.1,7431344
AZ,HIGHCHOL,AgeAdjPrv,32.7,7431344
AZ,HIGHCHOL,CrdPrv,37.2,7431344
AZ,HOUSINSECU,AgeAdjPrv,13.1,7431344
AZ,HOUSINSECU,CrdPrv,12.0,7431344
AZ,INDEPLIVE,AgeAdjPrv,7.4,7431344
AZ,INDEPLIVE,CrdPrv,7.6,7431344
AZ,LACKTRPT,AgeAdjPrv,9.2,7431344
AZ,LACKTRPT,CrdPrv,8.7,7431344
AZ,LONELINESS,AgeAdjPrv,32.7,7431344
AZ,LONELINESS,CrdPrv,32.0,7431344
AZ,LPA,AgeAdjPrv,21.2,7431344
AZ,LPA,CrdPrv,21.9,7431344
AZ,MAMMOUSE,AgeAdjPrv,72.4,7431344
AZ,MAMMOUSE,CrdPrv,72.7,7431344
AZ,MHLTH,AgeAdjPrv,16.2,7431344
AZ,MHLTH,CrdPrv,15.4,7431344
AZ,MOBILITY,AgeAdjPrv,12.1,7431344
AZ,MOBILITY,CrdPrv,13.8,7431344
AZ,OBESITY,AgeAdjPrv,31.7,7431344
AZ,OBESITY,CrdPrv,31.3,7431344
AZ,PHLTH,AgeAdjPrv,12.3,7431344
AZ,PHLTH,CrdPrv,12.9,7431344
AZ,SELFCARE,AgeAdjPrv,3.5,7431344
AZ,SELFCARE,CrdPrv,3.7,7431344
AZ,SHUTUTILITY,AgeAdjPrv,8.0,7431344
AZ,SHUTUTILITY,CrdPrv,7.2,7431344
AZ,SLEEP,AgeAdjPrv,36.2,7431344
AZ,SLEEP,CrdPrv,35.2,7431344
AZ,STROKE,AgeAdjPrv,2.9,7431344
